airline,flight_number,departure_airport,arrival_airport,departure_iata,arrival_iata,departure_time,arrival_time,status
KLM,2129,Peretola,Charles De Gaulle,FLR,CDG,2025-07-30 12:15:00+00:00,2025-07-30 14:05:00+00:00,scheduled
Delta Air Lines,8369,Peretola,Charles De Gaulle,FLR,CDG,2025-07-30 12:15:00+00:00,2025-07-30 14:05:00+00:00,scheduled
KLM,1654,Peretola,Schiphol,FLR,AMS,2025-07-30 12:10:00+00:00,2025-07-30 14:25:00+00:00,scheduled
China Eastern Airlines,1824,Peretola,Schiphol,FLR,AMS,2025-07-30 12:10:00+00:00,2025-07-30 14:25:00+00:00,scheduled
Kenya Airways,1642,Peretola,Schiphol,FLR,AMS,2025-07-30 12:10:00+00:00,2025-07-30 14:25:00+00:00,scheduled
Delta Air Lines,9514,Peretola,Schiphol,FLR,AMS,2025-07-30 12:10:00+00:00,2025-07-30 14:25:00+00:00,scheduled
TAP Air Portugal,875,Peretola,Lisbon Portela,FLR,LIS,2025-07-30 12:05:00+00:00,2025-07-30 14:15:00+00:00,scheduled
Azores Airlines,8959,Peretola,Lisbon Portela,FLR,LIS,2025-07-30 12:05:00+00:00,2025-07-30 14:15:00+00:00,scheduled
Azul,7313,Peretola,Lisbon Portela,FLR,LIS,2025-07-30 12:05:00+00:00,2025-07-30 14:15:00+00:00,scheduled
empty,,Peretola,Zurich,FLR,ZRH,2025-07-30 12:00:00+00:00,2025-07-30 13:02:00+00:00,scheduled
empty,,Peretola,Avignon-Caumont,FLR,AVN,2025-07-30 12:00:00+00:00,2025-07-30 13:33:00+00:00,scheduled
SAS,2962,Peretola,Kastrup,FLR,CPH,2025-07-30 12:00:00+00:00,2025-07-30 14:10:00+00:00,scheduled
Vueling,1496,Peretola,Barajas,FLR,MAD,2025-07-30 11:55:00+00:00,2025-07-30 14:30:00+00:00,scheduled
Qatar Airways,8118,Peretola,Barajas,FLR,MAD,2025-07-30 11:55:00+00:00,2025-07-30 14:30:00+00:00,scheduled
Iberia,5328,Peretola,Barajas,FLR,MAD,2025-07-30 11:55:00+00:00,2025-07-30 14:30:00+00:00,scheduled
American Airlines,8874,Peretola,Barajas,FLR,MAD,2025-07-30 11:55:00+00:00,2025-07-30 14:30:00+00:00,scheduled
Brussels Airlines,3140,Peretola,Brussels Airport,FLR,BRU,2025-07-30 11:30:00+00:00,2025-07-30 13:20:00+00:00,scheduled
KLM,1652,Peretola,Schiphol,FLR,AMS,2025-07-30 11:20:00+00:00,2025-07-30 13:25:00+00:00,scheduled
China Eastern Airlines,1822,Peretola,Schiphol,FLR,AMS,2025-07-30 11:20:00+00:00,2025-07-30 13:25:00+00:00,scheduled
Sichuan Airlines,1054,Beijing Daxing International Airport,Shenzhen,PKX,SZX,2025-07-30 10:00:00+00:00,2025-07-30 13:25:00+00:00,landed
